event_id,image_group_id,image_url_1,image_url_2,image_url_3,count,blank_image,load_date,species_name,image_url_1_bbox,image_url_2_bbox,image_url_3_bbox
497,SSWI000000015074868,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074868A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074868B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074868C.jpg,2,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074868A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074868B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074868C.jpg
498,SSWI000000015074879,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074879A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074879B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074879C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074879A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074879B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074879C.jpg
499,SSWI000000015074887,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074887A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074887B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074887C.jpg,1,f,12/2/21,raccoon,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074887A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074887B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074887C.jpg
500,SSWI000000015074889,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074889A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074889B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074889C.jpg,1,f,12/2/21,turkey,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074889A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074889B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074889C.jpg
501,SSWI000000015074890,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074890A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074890B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074890C.jpg,1,f,12/2/21,turkey,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074890A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074890B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074890C.jpg
502,SSWI000000015074892,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074892A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074892B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074892C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074892A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074892B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074892C.jpg
503,SSWI000000015074894,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074894A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074894B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074894C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074894A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074894B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074894C.jpg
504,SSWI000000015074942,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074942A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074942B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074942C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074942A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074942B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074942C.jpg
505,SSWI000000015074946,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074946A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074946B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074946C.jpg,0,t,12/2/21,blank,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074946A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074946B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074946C.jpg
506,SSWI000000015074948,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074948A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074948B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074948C.jpg,0,t,12/2/21,blank,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074948A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074948B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074948C.jpg
507,SSWI000000015074951,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074951A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074951B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074951C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074951A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074951B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074951C.jpg
508,SSWI000000015074952,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074952A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074952B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074952C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074952A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074952B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074952C.jpg
509,SSWI000000015074954,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074954A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074954B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074954C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074954A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074954B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074954C.jpg
510,SSWI000000015074956,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074956A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074956B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074956C.jpg,0,t,12/2/21,blank,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074956A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074956B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074956C.jpg
511,SSWI000000015074960,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074960A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074960B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074960C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074960A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074960B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074960C.jpg
512,SSWI000000015074967,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074967A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074967B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074967C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074967A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074967B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074967C.jpg
513,SSWI000000015074968,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074968A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074968B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074968C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074968A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074968B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074968C.jpg
514,SSWI000000015074973,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074973A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074973B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074973C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074973A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074973B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074973C.jpg
515,SSWI000000015074980,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074980A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074980B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074980C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074980A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074980B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074980C.jpg
516,SSWI000000015074982,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074982A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074982B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074982C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074982A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074982B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074982C.jpg
517,SSWI000000015074987,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074987A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074987B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074987C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074987A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074987B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074987C.jpg
518,SSWI000000015074991,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074991A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074991B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015074991C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074991A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074991B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015074991C.jpg
519,SSWI000000015075000,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075000A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075000B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075000C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075000A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075000B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075000C.jpg
520,SSWI000000015075003,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075003A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075003B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075003C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075003A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075003B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075003C.jpg
521,SSWI000000015075005,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075005A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075005B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015075005C.jpg,1,f,12/2/21,deer,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075005A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075005B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015075005C.jpg
522,SSWI000000015119592,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119592A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119592B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119592C.jpg,1,f,12/2/21,fox,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119592A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119592B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119592C.jpg
523,SSWI000000015119755,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119755A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119755B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119755C.jpg,1,f,12/2/21,fox,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119755A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119755B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119755C.jpg
524,SSWI000000015119792,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119792A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119792B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119792C.jpg,1,f,12/2/21,fox,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119792A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119792B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119792C.jpg
525,SSWI000000015119833,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119833A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119833B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015119833C.jpg,1,f,12/2/21,fox,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119833A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119833B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015119833C.jpg
526,SSWI000000015125513,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015125513A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015125513B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015125513C.jpg,1,f,12/2/21,opossum,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015125513A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015125513B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015125513C.jpg
527,SSWI000000015207162,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015207162A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015207162B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/images/SSWI000000015207162C.jpg,1,f,12/2/21,opossum,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015207162A.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015207162B.jpg,https://wisconsintrails.s3.us-west-2.amazonaws.com/imagesbbox/SSWI000000015207162C.jpg
