;model_output_id;model_id;image_group_id;image_id_1;image_id_1_species_name;image_id_1_conf;image_id_1_count;image_id_1_blank;image_id_1_detectable;image_id_2;image_id_2_species_name;image_id_2_conf;image_id_2_count;image_id_2_blank;image_id_2_detectable;image_id_3;image_id_3_species_name;image_id_3_conf;image_id_3_count;image_id_3_blank;image_id_3_detectable;load_date;image_id_1_bbox;image_id_2_bbox;image_id_3_bbox
23;5024;5;SSWI000000019807569;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.0831,0.6015,0.1651,0.3852;0.0574,0.5899,0.1148,0.3307;0.0926,0.5807,0.1775,0.35
24;5025;5;SSWI000000019658937;A;;;2;False;False;B;;;2;False;False;C;;;2;False;False;2021-11-10;"0.4187,0.6944,0.1883,0.3634;0.0788,0.7636,0.1536,0.4725";"0.0834,0.8036,0.1627,0.3903;0.4046,0.6835,0.158,0.3266";"0.3579,0.6966,0.1882,0.3547;0.0941,0.806,0.1848,0.3835"
25;5026;5;SSWI000000018720931;B;;;0;True;False;A;;;1;False;False;C;;;0;True;False;2021-11-10;;0.2744,0.7991,0.5447,0.3923;
26;5027;5;SSWI000000019326950;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.6904,0.9358,0.2011,0.123;0.4791,0.9316,0.1963,0.1333;0.7692,0.9467,0.2276,0.1012
27;5028;5;SSWI000000021013081;B;;;0;True;False;C;;;1;False;False;A;;;0;True;False;2021-11-10;;0.4395,0.5984,0.1534,0.08241;
28;5029;5;SSWI000000007972320;C;;;2;False;False;A;;;2;False;False;B;;;2;False;False;2021-11-10;"0.5249,0.6654,0.3597,0.4395;0.1284,0.4948,0.2468,0.9807";"0.2733,0.7588,0.2554,0.272;0.1058,0.488,0.2079,0.9638";"0.5083,0.6616,0.355,0.4526;0.1192,0.4934,0.2371,0.9826"
29;5030;5;SSWI000000019326586;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.0753,0.8179,0.1466,0.1358;0.372,0.9012,0.2469,0.1844;0.1001,0.8389,0.1941,0.1709
30;5031;5;SSWI000000006823389;A;;;1;False;False;C;;;3;False;False;B;;;1;False;False;2021-11-10;0.4801,0.8876,0.07534,0.1242;"0.4652,0.7985,0.05612,0.08826;0.8659,0.7293,0.2262,0.1669;0.8169,0.7073,0.2158,0.1436";0.4702,0.8194,0.0565,0.09824
31;5032;5;SSWI000000020365429;A;;;2;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;"0.9522,0.9184,0.09542,0.163;0.9523,0.9181,0.09539,0.1637";0.9512,0.9156,0.09746,0.1687;0.9517,0.9147,0.09648,0.1704
32;5033;5;SSWI000000017356170;B;;;0;True;False;C;;;0;True;False;A;;;1;False;False;2021-11-10;;;0.9111,0.6434,0.1746,0.2132
33;5034;5;SSWI000000020467760;B;;;0;True;False;C;;;1;False;False;A;;;0;True;False;2021-11-10;;0.4232,0.932,0.05863,0.1091;
34;5035;5;SSWI000000021871927;C;;;1;False;False;B;;;2;False;False;A;;;1;False;False;2021-11-10;0.1395,0.6392,0.1605,0.125;"0.0979,0.638,0.1459,0.1278;0.989,0.3733,0.01884,0.06357";0.0546,0.6366,0.1078,0.1198
35;5036;5;SSWI000000020300030;A;;;0;True;False;C;;;0;True;False;B;;;0;True;False;2021-11-10;;;
36;5037;5;SSWI000000021871757;C;;;2;False;False;B;;;2;False;False;A;;;2;False;False;2021-11-10;"0.2623,0.6443,0.2804,0.4267;0.7004,0.5164,0.05765,0.1083";"0.268,0.6459,0.2912,0.4197;0.6888,0.5203,0.06839,0.1066";"0.4536,0.662,0.2971,0.4602;0.6446,0.5248,0.1151,0.1068"
37;5038;5;SSWI000000015074887;A;;;0;True;False;C;;;1;False;False;B;;;0;True;False;2021-11-10;;0.5651,0.584,0.09527,0.05414;
38;5039;5;SSWI000000017034679;A;;;1;False;False;B;;;0;True;False;C;;;0;True;False;2021-11-10;0.3887,0.7955,0.7376,0.4015;;
39;5040;5;SSWI000000023457310;B;;;1;False;False;C;;;2;False;False;A;;;2;False;False;2021-11-10;0.2445,0.9326,0.1603,0.1261;"0.2422,0.9321,0.1462,0.1327;0.2435,0.8871,0.1522,0.2109";"0.341,0.9671,0.1692,0.06099;0.3282,0.9549,0.2038,0.08391"
40;5041;5;SSWI000000020506895;C;;;2;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;"0.7258,0.557,0.07398,0.1787;0.7222,0.4371,0.0511,0.06471";0.7252,0.5324,0.07418,0.2386;0.6766,0.7095,0.1474,0.3403
41;5042;5;SSWI000000018237159;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.3865,0.5367,0.1778,0.6072;0.3711,0.5265,0.1851,0.6325;0.3621,0.5123,0.2097,0.6648
42;5043;5;SSWI000000020364828;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.8513,0.8334,0.297,0.322;0.8502,0.6599,0.2993,0.68;0.8499,0.8328,0.2999,0.3244
43;5044;5;SSWI000000020364835;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.0745,0.7891,0.1484,0.2117;0.0545,0.8256,0.1089,0.299;0.0522,0.8334,0.1045,0.3145
44;5045;5;SSWI000000014730207;A;;;2;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;"0.3816,0.5954,0.2509,0.1606;0.4139,0.6133,0.3309,0.212";0.1968,0.6214,0.1896,0.1737;0.169,0.6285,0.2091,0.1387
45;5046;5;SSWI000000020365903;B;;;0;True;False;C;;;0;True;False;A;;;1;False;False;2021-11-10;;;0.9689,0.8256,0.05975,0.3465
46;5047;5;SSWI000000009432765;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.7933,0.3725,0.4122,0.505;0.6418,0.3863,0.5254,0.5318;0.5185,0.3819,0.4594,0.444
47;5048;5;SSWI000000017182594;A;;;1;False;False;B;;;1;False;False;C;;;0;True;False;2021-11-10;0.1997,0.8067,0.398,0.3736;0.9284,0.7105,0.1399,0.1928;
48;5049;5;SSWI000000020481080;C;;;1;False;False;A;;;2;False;False;B;;;1;False;False;2021-11-10;0.9009,0.7468,0.198,0.5063;"0.5931,0.7161,0.1217,0.1391;0.6203,0.7227,0.1703,0.1718";0.9564,0.7015,0.08702,0.3626
49;5050;5;SSWI000000011440297;A;;;2;False;False;B;;;1;False;False;C;;;2;False;False;2021-11-10;"0.2216,0.5282,0.116,0.0884;0.2887,0.562,0.04795,0.07094";0.4088,0.5107,0.06793,0.0607;"0.4559,0.5086,0.06794,0.05348;0.4644,0.5112,0.05136,0.04188"
50;5051;5;SSWI000000006489319;A;;;1;False;False;C;;;2;False;False;B;;;3;False;False;2021-11-10;0.7563,0.7056,0.4756,0.4549;"0.6383,0.6782,0.5874,0.511;0.9537,0.6718,0.09185,0.1494";"0.6601,0.6805,0.6128,0.5017;0.9837,0.6915,0.02723,0.07242;0.5298,0.6641,0.1207,0.0536"
51;5052;5;SSWI000000021798447;C;;;2;False;False;A;;;0;True;False;B;;;2;False;False;2021-11-10;"0.5446,0.7282,0.1116,0.09282;0.5553,0.7208,0.07388,0.0791";;"0.6545,0.694,0.2385,0.1445;0.6131,0.692,0.1472,0.1245"
52;5053;5;SSWI000000020162904;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.6514,0.7506,0.6969,0.489;0.6996,0.7577,0.5928,0.4837;0.7125,0.7582,0.5749,0.4834
53;5054;5;SSWI000000018992230;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.215,0.7386,0.2005,0.1083;0.0779,0.7002,0.1143,0.1088;0.0968,0.6975,0.1196,0.1018
54;5055;5;SSWI000000021774280;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.3496,0.8264,0.1989,0.3414;0.4646,0.8024,0.3059,0.3919;0.9001,0.7993,0.1997,0.3403
55;5056;5;SSWI000000019326822;B;;;2;False;False;C;;;2;False;False;A;;;1;False;False;2021-11-10;"0.3193,0.8646,0.0836,0.1236;0.3375,0.8684,0.1245,0.146";"0.3178,0.8327,0.07668,0.1495;0.3078,0.8442,0.05907,0.119";0.546,0.8969,0.2283,0.1895
56;5057;5;SSWI000000011771401;A;;;7;False;False;C;;;4;False;False;B;;;7;False;False;2021-11-10;"0.8657,0.436,0.2662,0.2633;0.6266,0.392,0.1362,0.1517;0.6426,0.3548,0.1108,0.1551;0.0197,0.4462,0.037,0.2721;0.1864,0.465,0.09933,0.1741;0.6629,0.3477,0.07137,0.1522;0.0193,0.4453,0.03698,0.2809";"0.7137,0.4519,0.3603,0.2414;0.6521,0.3554,0.1924,0.1587;0.0438,0.4543,0.07664,0.2735;0.6527,0.3942,0.2259,0.2012";"0.738,0.4368,0.3543,0.269;0.02,0.4533,0.0382,0.2927;0.6476,0.367,0.1779,0.1882;0.7694,0.343,0.2356,0.1676;0.0552,0.4595,0.1077,0.2788;0.7018,0.299,0.08125,0.06204;0.7065,0.3721,0.2662,0.2058"
57;5058;5;SSWI000000005175003;C;;;0;True;False;B;;;0;True;False;A;;;0;True;False;2021-11-10;;;
58;5059;5;SSWI000000015589155;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.4912,0.6034,0.09921,0.1277;0.6385,0.6849,0.1394,0.1936;0.5435,0.6392,0.09485,0.188
