image_group_id,blank,consol_dict_model_3,consol_dict_model_4,event_final_topk_conf,species,md_count_max,yolo_count_max,md_bbox,yolo_bbox
2017384,True,"{'blank': [0.99, 0.99, 0.99]}","{'deer': [0.3657427132129669, 0.41499239206314087], 'blank': [0.493208110332489]}","{'blank': 0.99, 'deer': 0.34582699338595074, 'wolf': 0.11233790467182796}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2017524,True,"{'blank': [0.99, 0.99, 0.99]}","{'deer': [0.8888987898826599, 0.8694658875465393, 0.8171451687812805]}","{'blank': 0.99, 'deer': 0.7407489915688833, 'bear': 0.05349685127536456}",deer,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2017753,True,"{'blank': [0.99, 0.99, 0.99]}","{'deer': [0.9572826027870178, 0.9565489292144775, 0.9356093406677246]}","{'blank': 0.99, 'deer': 0.7977355023225149, 'coyote': 0.015365337021648884}",deer,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2019284,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.5904344320297241, 0.3404694199562073, 0.4395546317100525]}","{'blank': 0.99, 'bear': 0.26641175150871277, 'turkey': 0.11882985631624858}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2019608,True,"{'foxgray_foxred': [0.359130859], 'blank': [0.99], 'turkey': [0.418457031]}","{'turkey': [0.5447938442230225, 0.5005627870559692], 'blank': [0.3985939025878906]}","{'turkey': 0.5021484371999999, 'foxgray_foxred': 0.43095703080000003, 'wolf': 0.0934753566980362}",turkey,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [['0.8600852061912282,0.48011362371473687,0.16051142266456117,0.11221591752350873']], 'B': [], 'C': [['0.1496803976119833,0.8267045412382457,0.2904829547760334,0.34659091752350873']]}"
2019859,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8317986726760864, 0.8896453380584717, 0.897734522819519]}","{'blank': 0.99, 'bear': 0.0627590777973334, 'deer': 0.030947783961892128}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2019882,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8882243037223816, 0.9752334356307983, 0.935432493686676]}","{'blank': 0.99, 'deer': 0.058576700588067375, 'bear': 0.026328858609000843}",blank,1,0,"{'A': [], 'B': ['0.5032,0.5101,0.119,0.1029'], 'C': []}","{'A': [], 'B': [], 'C': []}"
2020542,True,"{'turkey': [0.297363281, 0.303710938], 'blank': [0.99]}","{'turkey': [0.3534485101699829], 'blank': [0.3044854402542114, 0.29669854044914246]}","{'turkey': 0.3644531256, 'bear': 0.12469135224819183, 'deer': 0.09667648002505302}",turkey,2,1,"{'A': [], 'B': ['0.5282,0.7458,0.1258,0.2359', '0.9536,0.6809,0.07331,0.3822'], 'C': ['0.5137,0.6492,0.09245,0.1347']}","{'A': [['0.4925426030956141,0.6747158943338597,0.13423295876175437,0.13920454123824563']], 'B': [], 'C': [['0.5014204355721054,0.6541193118573685,0.15127837114421067,0.18039770619122816']]}"
2021226,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.5445748567581177, 0.3553462624549866, 0.3475816249847412]}","{'blank': 0.99, 'turkey': 0.28210120896498364, 'cottontail_snowshoehare': 0.06813880677024524}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2021567,True,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.5445813536643982, 0.548194408416748, 0.4870309829711914]}","{'blank': 0.99, 'bear': 0.4568286736806234, 'foxgray_foxred': 0.19226533671220145}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2025800,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.3899384140968323, 0.3352193534374237, 0.3242606818675995]}","{'blank': 0.99, 'foxgray_foxred': 0.2425405631462733, 'wolf': 0.14677685995896658}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2026381,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.30153948068618774, 0.28361523151397705], 'foxgray_foxred': [0.2666420638561249]}","{'blank': 0.99, 'turkey': 0.2512829005718231, 'coyote': 0.12366076310475668}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2027848,True,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.33939671516418457, 0.3199959993362427], 'foxgray_foxred': [0.31785139441490173]}","{'blank': 0.99, 'bear': 0.2828305959701538, 'foxgray_foxred': 0.26487616201241815}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2028132,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.32327473163604736, 0.30717337131500244, 0.30920836329460144]}","{'blank': 0.99, 'cottontail_snowshoehare': 0.2327851454416911, 'foxgray_foxred': 0.10682060072819392}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2028474,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.29438239336013794], 'blank': [0.3643944263458252, 0.2937057614326477]}","{'blank': 0.99, 'turkey': 0.26768306891123456, 'foxgray_foxred': 0.2453186611334483}",blank,1,0,"{'A': ['0.0229,0.9532,0.04251,0.09345'], 'B': [], 'C': ['0.724,0.697,0.03674,0.06245']}","{'A': [], 'B': [], 'C': []}"
2029684,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.49053776264190674, 0.6321930885314941], 'deer': [0.4540812075138092]}","{'blank': 0.99, 'deer': 0.3784010062615077, 'raccoon': 0.1704966276884079}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2030855,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.6071057319641113, 0.8491382002830505, 0.6271145343780518]}","{'blank': 0.99, 'bear': 0.1410563662648201, 'turkey': 0.10784514248371124}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2030902,False,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.6970375180244446, 0.7320848107337952, 0.765620768070221]}","{'blank': 0.99, 'turkey': 0.6380173067251842, 'wolf': 0.09271926557024321}",turkey,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2031146,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.46519339084625244, 0.5552221536636353, 0.3168526589870453]}","{'blank': 0.99, 'turkey': 0.4626851280530294, 'deer': 0.19730903208255768}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
