image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_species,image_id_2_species,image_id_3_species,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,model_id
SSWI000000017432803,A,B,C,5,4,4,0.979;0.962;0.443;0.336;0.168,0.946;0.907;0.432;0.15,0.972;0.593;0.415;0.156,"0.3247,0.9254,0.1148,0.144;0.513,0.4354,0.03461,0.06241;0.3687,0.9272,0.2042,0.1422;0.4363,0.4482,0.04108,0.02694;0.516,0.4374,0.05603,0.06945","0.5133,0.4379,0.03615,0.0612;0.4105,0.8341,0.101,0.1555;0.4346,0.4482,0.03473,0.02577;0.5217,0.4408,0.05831,0.06923","0.5123,0.437,0.03907,0.06077;0.4268,0.8079,0.07135,0.1615;0.435,0.4481,0.03887,0.02736;0.5173,0.4379,0.05852,0.06774",,,,False,False,False,False,False,False,5
SSWI000000017433796,A,B,C,1,1,1,0.999,0.999,0.999,"0.0507,0.6556,0.09893,0.1442","0.194,0.6633,0.175,0.1457","0.2546,0.6589,0.2125,0.1471",,,,False,False,False,False,False,False,5
SSWI000000017438288,A,B,C,1,0,0,0.87,,,"0.9524,0.6727,0.09331,0.09062",,,,,,False,True,True,False,False,False,5
SSWI000000017445158,A,B,C,0,1,0,,0.343,,,"0.6276,0.679,0.1232,0.09321",,,,,True,False,True,False,False,False,5
SSWI000000017451970,A,B,C,0,1,0,,0.998,,,"0.8338,0.775,0.3267,0.4462",,,,,True,False,True,False,False,False,5
SSWI000000017451997,A,B,C,1,1,1,0.997,0.999,0.999,"0.919,0.5494,0.1587,0.1401","0.5626,0.591,0.195,0.1595","0.4739,0.6113,0.1715,0.1882",,,,False,False,False,False,False,False,5
SSWI000000017453149,A,B,C,4,2,3,0.982;0.981;0.98;0.251,0.997;0.913,0.994;0.191;0.175,"0.9723,0.5656,0.05106,0.2022;0.7195,0.3129,0.1225,0.1502;0.9016,0.3377,0.1748,0.1816;0.9626,0.5798,0.07237,0.2387","0.8024,0.3341,0.1409,0.1559;0.9486,0.3319,0.09802,0.1469","0.8467,0.3377,0.1196,0.1713;0.8251,0.3378,0.07842,0.1502;0.8694,0.3434,0.08156,0.1677",,,,False,False,False,False,False,False,5
SSWI000000017480886,A,B,C,2,1,1,0.999;0.117,0.999,0.996,"0.7197,0.5835,0.1371,0.1248;0.8194,0.5564,0.05769,0.0568","0.6091,0.653,0.07082,0.2494","0.6798,0.7145,0.1739,0.2717",,,,False,False,False,False,False,False,5
SSWI000000017487493,A,B,C,2,1,1,0.999;0.119,0.999,0.999,"0.6321,0.7026,0.1387,0.2847;0.879,0.7249,0.2417,0.192","0.6013,0.6672,0.105,0.295","0.5995,0.6686,0.1047,0.2962",,,,False,False,False,False,False,False,5
SSWI000000017499683,A,B,C,1,0,0,0.999,,,"0.8592,0.6018,0.2815,0.3701",,,,,,False,True,True,False,False,False,5
SSWI000000017531386,A,B,C,2,1,5,0.166;0.1,0.995,0.997;0.147;0.132;0.123;0.109,"0.4297,0.7425,0.1167,0.08644;0.4098,0.7478,0.07903,0.07242","0.517,0.7326,0.1179,0.1035","0.5449,0.7344,0.1029,0.1012;0.5583,0.7211,0.06466,0.08121;0.5701,0.7259,0.0429,0.0849;0.5252,0.7235,0.06227,0.07083;0.5382,0.7112,0.0447,0.05853",,,,False,False,False,False,False,False,5
SSWI000000017531390,A,B,C,1,1,2,0.999,0.98,0.693;0.114,"0.5215,0.8146,0.1988,0.1441","0.0434,0.7564,0.08212,0.1527","0.0225,0.7813,0.04459,0.09984;0.0238,0.7846,0.04474,0.1036",,,,False,False,False,False,False,False,5
SSWI000000017531399,A,B,C,3,2,2,0.999;0.992;0.824,0.999;0.951,0.999;0.963,"0.4919,0.7016,0.188,0.2305;0.3103,0.6837,0.06769,0.1255;0.5858,0.6976,0.05565,0.09768","0.6148,0.7207,0.244,0.2437;0.2918,0.6799,0.06327,0.1165","0.6366,0.7241,0.2181,0.252;0.2879,0.6849,0.05634,0.1177",,,,False,False,False,False,False,False,5
SSWI000000017531438,A,B,C,0,0,0,,,,,,,,,,True,True,True,False,False,False,5
SSWI000000017531439,A,B,C,0,0,1,,,0.203,,,"0.8231,0.9801,0.1467,0.03138",,,,True,True,False,False,False,False,5
SSWI000000017531451,A,B,C,1,2,3,0.997,0.998;0.116,0.999;0.203;0.133,"0.073,0.6952,0.1426,0.1477","0.2192,0.6894,0.1845,0.1449;0.4142,0.6756,0.03777,0.04881","0.2745,0.6916,0.1675,0.1372;0.4274,0.6745,0.06446,0.04987;0.4125,0.6801,0.03098,0.04278",,,,False,False,False,False,False,False,5
SSWI000000017531492,A,B,C,1,1,1,0.999,0.999,0.999,"0.579,0.6932,0.1856,0.1241","0.4339,0.6811,0.169,0.1621","0.3903,0.6841,0.1702,0.1552",,,,False,False,False,False,False,False,5
SSWI000000017531511,A,B,C,1,1,1,0.999,0.999,0.999,"0.1867,0.831,0.3462,0.253","0.4238,0.8638,0.2021,0.2601","0.5164,0.8768,0.1784,0.2356",,,,False,False,False,False,False,False,5
SSWI000000017531555,A,B,C,1,1,1,0.995,0.999,0.999,"0.9516,0.8311,0.09512,0.1587","0.755,0.858,0.4505,0.2816","0.6787,0.8525,0.3768,0.292",,,,False,False,False,False,False,False,5
SSWI000000017531558,A,B,C,1,1,1,0.999,0.999,0.998,"0.5248,0.7249,0.2737,0.3648","0.0849,0.774,0.1638,0.2729","0.0834,0.7496,0.1611,0.2122",,,,False,False,False,False,False,False,5
SSWI000000017531616,A,B,C,1,1,1,0.998,0.996,0.984,"0.1792,0.7246,0.1632,0.1068","0.6421,0.7109,0.1243,0.05323","0.7735,0.744,0.1494,0.09006",,,,False,False,False,False,False,False,5
SSWI000000017539373,A,B,C,1,2,1,0.997,0.97;0.13,0.998,"0.3915,0.7121,0.1232,0.1393","0.282,0.5094,0.09518,0.1095;0.2973,0.5088,0.1549,0.121","0.2576,0.4871,0.1248,0.1134",,,,False,False,False,False,False,False,5
SSWI000000017539486,A,B,C,1,1,0,0.999,0.999,,"0.4525,0.7719,0.1504,0.1473","0.6168,0.9076,0.1093,0.1793",,,,,False,False,True,False,False,False,5
SSWI000000017560611,A,B,C,0,1,0,,0.805,,,"0.3228,0.5832,0.09552,0.07753",,,,,True,False,True,False,False,False,5
SSWI000000017583435,A,B,C,1,4,5,0.93,0.576;0.514;0.315;0.182,0.738;0.331;0.21;0.195;0.194,"0.1548,0.7019,0.04086,0.1357","0.1573,0.7338,0.04469,0.07269;0.506,0.774,0.4551,0.09897;0.5254,0.7979,0.5137,0.1527;0.5535,0.8276,0.594,0.2365","0.1566,0.728,0.04235,0.08086;0.1549,0.7411,0.03805,0.04922;0.1579,0.746,0.04842,0.06789;0.5021,0.7615,0.4654,0.08477;0.1644,0.7252,0.06201,0.09423",,,,False,False,False,False,False,False,5
SSWI000000017583507,A,B,C,2,1,1,0.999;0.104,0.999,0.999,"0.9266,0.6802,0.1442,0.2836;0.1518,0.4255,0.02933,0.06053","0.9202,0.6777,0.1552,0.2849","0.9198,0.6793,0.158,0.2905",,,,False,False,False,False,False,False,5
SSWI000000017584287,A,B,C,1,1,1,0.999,0.999,0.999,"0.2347,0.4676,0.1235,0.2699","0.2293,0.4593,0.1017,0.2927","0.2311,0.462,0.1524,0.2886",,,,False,False,False,False,False,False,5
SSWI000000017586108,A,B,C,1,3,2,0.995,0.949;0.381;0.127,0.989;0.249,"0.4869,0.8564,0.1605,0.2594","0.3395,0.7761,0.1542,0.2036;0.3949,0.7708,0.2553,0.2006;0.4455,0.7916,0.3833,0.2655","0.1985,0.7272,0.09448,0.1315;0.2331,0.7324,0.1662,0.1467",,,,False,False,False,False,False,False,5
SSWI000000017587496,A,B,C,1,1,1,0.999,0.999,0.999,"0.0983,0.5529,0.1965,0.4467","0.2725,0.4639,0.2174,0.3248","0.3615,0.4686,0.1706,0.2508",,,,False,False,False,False,False,False,5
SSWI000000017589439,A,B,C,1,0,0,0.129,,,"0.3667,0.6171,0.06465,0.07639",,,,,,False,True,True,False,False,False,5
SSWI000000017591849,A,B,C,1,0,0,0.995,,,"0.5938,0.9631,0.159,0.06644",,,,,,False,True,True,False,False,False,5
SSWI000000017591861,A,B,C,1,1,1,0.997,0.951,0.993,"0.9332,0.5854,0.1309,0.1544","0.9229,0.5803,0.1476,0.1201","0.8458,0.5989,0.1827,0.1384",,,,False,False,False,False,False,False,5
