image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_species_name,image_id_2_species_name,image_id_3_species_name,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_blank,image_id_2_blank,image_id_3_blank,model_id,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,load_date
SSWI000000017053464,A,,,"animal,animal",,,"0.7915630340576172,0.66298508644104",,,"0.2804823646429462,0.6834658127062951,0.16202252976437834,0.119978745295284;0.6764115214710178,0.646223839293135,0.0729402118903163,0.17668652751887823",,,2,0,0,False,True,True,1,False,False,False,12/01/2021
SSWI000000017956566,C,,,"animal,animal",,,"0.9014807343482971,0.770315408706665",,,"0.7618112071306872,0.7496908587887656,0.26857495525325326,0.49919388142037896;0.12115814475665339,0.5460484049602845,0.176911704808383,0.17617635524019282",,,2,0,0,False,True,True,1,False,False,False,12/01/2021
SSWI000000019581852,B,,,animal,,,0.8785542249679565,,,"0.27185086131458225,0.7731935912714903,0.3570912891608241,0.44609380565515766",,,1,0,0,False,True,True,1,False,False,False,12/01/2021
SSWI000000020365431,C,C,C,"animal,animal","animal,animal","animal,animal","0.8252558708190918,0.8067631721496582","0.8252558708190918,0.8067631721496582","0.8252558708190918,0.8067631721496582","0.38474215707518045,0.9120004764081497,0.26977631821096126,0.17186461103723405;0.9203412829923775,0.7857442235511849,0.1254924553868256,0.08398386482772131","0.38474215707518045,0.9120004764081497,0.26977631821096126,0.17186461103723405;0.9203412829923775,0.7857442235511849,0.1254924553868256,0.08398386482772131","0.38474215707518045,0.9120004764081497,0.26977631821096126,0.17186461103723405;0.9203412829923775,0.7857442235511849,0.1254924553868256,0.08398386482772131",2,2,2,False,False,False,1,False,False,False,12/01/2021
2008329,A,B,C,blank,blank,blank,0.9870110750198364,0.9590360522270203,0.9834611415863037,,,,0,0,0,True,True,True,2,False,False,False,12/01/2021
2009625,A,B,C,animal,animal,animal,0.9721313714981079,0.9863938689231873,0.983247697353363,,,,0,0,0,False,False,False,2,False,False,False,12/01/2021
2010025,A,B,C,blank,blank,blank,0.9983174800872803,0.9915269017219543,0.996371865272522,,,,0,0,0,True,True,True,2,False,False,False,12/01/2021
2010778,A,B,C,blank,blank,blank,0.9938222169876099,0.9642019271850586,0.9773263335227966,,,,0,0,0,True,True,True,2,False,False,False,12/01/2021
2010824,A,B,C,blank,animal,blank,0.9365163445472717,0.5628920793533325,0.523880660533905,,,,0,0,0,True,False,True,2,False,False,False,12/01/2021
2010906,A,B,C,blank,blank,blank,0.995144784450531,0.996469259262085,0.9978317618370056,,,,0,0,0,True,True,True,2,False,False,False,12/01/2021
